Human|[Human]
Democracy|[Democracies$Democracy]
Pepstatins|[Pepstatins]
pepstatin|[pepstatin$ahpatinin C$pepstatin A]
Ketoglutarate Dehydrogenase Complex|[2-Keto-4-Hydroxyglutarate Dehydrogenase$Dehydrogenase, 2-Keto-4-Hydroxyglutarate$2 Keto 4 Hydroxyglutarate Dehydrogenase$2-Oxoglutarate Dehydrogenase$Dehydrogenase, 2-Oxoglutarate$2 Oxoglutarate Dehydrogenase$2-Oxoglutarate Dehydrogenase Complex$Complex, 2-Oxoglutarate Dehydrogenase$Dehydrogenase Complex, 2-Oxoglutarate$2 Oxoglutarate Dehydrogenase Complex$alpha-Ketoglutarate Dehydrogenase$Dehydrogenase, alpha-Ketoglutarate$alpha Ketoglutarate Dehydrogenase$alpha-Ketoglutarate Dehydrogenase Complex$Complex, alpha-Ketoglutarate Dehydrogenase$Dehydrogenase Complex, alpha-Ketoglutarate$alpha Ketoglutarate Dehydrogenase Complex$Complex, Ketoglutarate Dehydrogenase$Dehydrogenase Complex, Ketoglutarate$Ketoglutarate Dehydrogenase Complex$Dehydrogenase, Oxoglutarate$Oxoglutarate Dehydrogenase$2-Oxoglutarate:lipoamide 2-oxidoreductase (decarboxylating and acceptor-succinylating)]
Radiotherapy, Conformal|[Conformal Radiotherapy$Radiotherapy, Conformal$Conformal Radiotherapies$Radiotherapies, Conformal]
Fungal eye infections|[Eye Infection, Fungal$Eye Infections, Fungal$Fungal Eye Infection$Fungal Eye Infections$Infection, Fungal Eye$Infections, Fungal Eye$Mycoses, Ocular$Mycosis, Ocular$Ocular Mycoses$Ocular Mycosis$Infection, Ocular Mycotic$Infections, Ocular Mycotic$Mycotic Infection, Ocular$Mycotic Infections, Ocular$Ocular Mycotic Infection$Ocular Mycotic Infections$Fungal Ocular Infection$Fungal Ocular Infections$Infection, Fungal Ocular$Infections, Fungal Ocular$Ocular Infection, Fungal$Ocular Infections, Fungal$Oculomycoses$Oculomycosis]
Entomology|[Entomology]
Air Sacs|[Air Bladder$Air Bladders$Bladder, Air$Bladders, Air$Air Sac$Air Sacs$Sac, Air$Sacs, Air$Swimbladder$Swimbladders]
S-Adenosylhomocysteine|[Adenosylhomocysteine, S$S Adenosylhomocysteine$S-Adenosylhomocysteine$L-Homocysteine, S-(5'-deoxyadenosin-5'-yl)-]
Adamantane|[Adamantane$Diamantane$Tricyclo(3.3.1.1(3,7))decane]
Tooth Migration|[Migration, Tooth$Migrations, Tooth$Tooth Migration$Tooth Migrations]
Ajmaline|[Ajmaline$Ajmalan-17,21-diol, (17R,21alpha)-]
Mouth Protectors|[Mouth Protector$Mouth Protectors$Protector, Mouth$Protectors, Mouth$Mouth Guards$Guard, Mouth$Guards, Mouth$Mouth Guard$Mouth Piece, Protective$Mouth Pieces, Protective$Piece, Protective Mouth$Pieces, Protective Mouth$Protective Mouth Piece$Protective Mouth Pieces$Mouthpiece, Protective$Mouthpieces, Protective$Protective Mouthpiece$Protective Mouthpieces]
Phenylurea Compounds|[Phenylcarbamides$Compounds, Phenylurea$Phenylurea Compounds]
IgG Deficiency|[Deficiency, IgG$IgG Deficiency$Deficiencies, IgG$IgG Deficiencies]
Steam|[Steam$Steams]
Orbital separation excessive|[Hypertelorism$Hypertelorisms]
Carnosine|[beta Alanylhistidine$beta-Alanylhistidine$Carnosine$L-Histidine, N-beta-alanyl-]
Articulation Disorders|[Articulation Disorder$Articulation Disorders$Misarticulation$Impairment, Phonological$Impairments, Phonological$Phonological Impairment$Phonological Impairments$Impairment, Phonology$Impairments, Phonology$Phonology Impairment$Phonology Impairments$Articulation Disorder, Speech$Articulation Disorders, Speech$Speech Articulation Disorder$Speech Articulation Disorders$Dysarticulation Disorder$Dysarticulation Disorders]
Diacetyl|[2,3-Butanedione$2,3 Butanedione$Biacetyl$Diacetyl$Diketobutane$Dimethyldiketone$Dimethylglyoxal]
Centrosome|[Centrosome$Centrosomes]
Nasopharyngeal Diseases|[Disease, Nasopharyngeal$Diseases, Nasopharyngeal$Nasopharyngeal Disease$Nasopharyngeal Diseases]
Vasculitis, Allergic Cutaneous|[Allergic Cutaneous Angiitides$Allergic Cutaneous Angiitis$Angiitides, Allergic Cutaneous$Angiitis, Allergic Cutaneous$Cutaneous Angiitides, Allergic$Cutaneous Angiitis, Allergic$Allergic Cutaneous Vasculitides$Allergic Cutaneous Vasculitis$Cutaneous Vasculitides, Allergic$Cutaneous Vasculitis, Allergic$Vasculitides, Allergic Cutaneous$Vasculitis, Allergic Cutaneous]
Myringoplasty|[Myringoplasties$Myringoplasty]
Certificate of Need|[Certificate of Need$Need Certificate$Need Certificates]
Blepharospasm|[Blepharospasm$Blepharospasms]
Tryptophan Synthase|[Synthase, Tryptophan$Tryptophan Synthase$Synthetase, Tryptophan$Tryptophan Synthetase$L-Serine hydro-lyase (adding indoleglycerol-phosphate)]
Cochlear implant procedure|[Cochlear Implantation$Cochlear Implantations$Implantation, Cochlear$Implantations, Cochlear$Cochlear Prosthesis Implantation$Cochlear Prosthesis Implantations$Implantation, Cochlear Prosthesis$Implantations, Cochlear Prosthesis$Prosthesis Implantation, Cochlear$Prosthesis Implantations, Cochlear]
Employee Grievances|[Employee Grievance$Employee Grievances$Grievance, Employee$Grievances, Employee]
Guanine Nucleotide Exchange Factors|[GDP Exchange Factors$Exchange Factors, GDP$Factors, GDP Exchange$GDP-GTP Reversing Factors$Reversing Factors, GDP-GTP$Factors, GDP-GTP Reversing$GDP GTP Reversing Factors$Guanine Nucleotide Exchange Factor$Guanine Nucleotide Exchange Factors$GDP Dissociation Factor$GDP Dissociation Stimulators$GDP GTP Exchange Protein$GDP-GTP Exchange Protein$Guanine Nucleotide Releasing Factor$Guanine Nucleotide Releasing Factors$Guanine-Nucleotide-Releasing Factor]
Manikins|[Manikin$Manikins$Mannequin$Mannequins]
Morula|[Morulas$Morula]
Fuel Oils|[Fuel Oils$Oil, Fuel$Oils, Fuel$Fuel Oil]
Flatulence|[Flatulence$Flatus]
Environmental Wind|[Winds$Wind]
Injury wounds|[Wound$Wounds]
Shortness of breath|[Shortness of Breath$Breath Shortness$Breath Shortnesses]
Gynecologic Surgical Procedures|[Gynecologic Surgery$Surgery, Gynecologic$Gynecologic Surgeries$Surgeries, Gynecologic$Gynecologic Surgical Procedure$Gynecologic Surgical Procedures$Procedure, Gynecologic Surgical$Procedures, Gynecologic Surgical$Surgical Procedure, Gynecologic$Surgical Procedures, Gynecologic$Gynecological Surgical Procedure$Gynecological Surgical Procedures$Procedure, Gynecological Surgical$Procedures, Gynecological Surgical$Surgical Procedure, Gynecological$Surgical Procedures, Gynecological$Gynecological Surgeries$Gynecological Surgery$Surgeries, Gynecological$Surgery, Gynecological]
Angiogenesis Inhibitors|[Angiogenesis Inhibitors$Inhibitors, Angiogenesis$Agents, Anti-Angiogenetic$Anti Angiogenetic Agents$Anti-Angiogenetic Agents$Agents, Angiostatic$Angiostatic Agents$Agents, Antiangiogenic$Antiangiogenic Agents$Angiogenetic Antagonists$Antagonists, Angiogenetic$Angiogenetic Inhibitors$Inhibitors, Angiogenetic$Angiogenic Antagonists$Antagonists, Angiogenic$Anti Angiogenic Drugs$Anti-Angiogenic Drugs$Drugs, Anti-Angiogenic$Angiogenic Inhibitors$Inhibitors, Angiogenic$Inhibitors, Neovascularization$Neovascularization Inhibitors]
Cercopithecidae|[Cercopithecidae$Monkey, Old World$Monkeys, Old World$Old World Monkey$Old World Monkeys$World Monkey, Old$World Monkeys, Old]
Receptors, Pituitary Hormone|[Pituitary Hormone Receptors$Receptors, Pituitary Hormone$Receptors, Pituitary Hormones$Pituitary Hormones Receptors]
Ventral Tegmental Area|[Ventral Tegmental Area$Tegmental Area, Ventral]
Lice|[Lice$Louse$Phthiraptera]
Lice Infestations|[Pediculoses$Pediculosis$Infestation, Lice$Infestations, Lice$Lice Infestation$Lice Infestations]
Schistosomiasis japonica|[Schistosomiasis japonica$Schistosomiasis japonicum]
Pharyngectomy|[Pharyngectomies$Pharyngectomy]
Heparin Antagonists|[Antagonists, Heparin$Heparin Antagonists]
Inhalation Exposure|[Exposure, Inhalation$Exposures, Inhalation$Inhalation Exposure$Inhalation Exposures]
Etorphine|[Etorphine$Ethorphine$6,14-Ethenomorphinan-7-methanol, 4,5-epoxy-3-hydroxy-6-methoxy-alpha,17-dimethyl-alpha-propyl-, (5alpha,7alpha(R))-]
Anestrus|[Anestrus]
Leishmania tropica|[Leishmania tropica$Leishmania tropica minor$Leishmania leishmania tropica$Leishmania (Leishmania) tropica]
Glycosyltransferases|[Glycoside Transferases$Transferases, Glycoside$Glycosyltransferases]
Shock, Surgical|[Shock, Surgical$Surgical Shock$Surgical Shocks]
Chronobiology|[Chronobiology]
Capuchin Monkey|[Capuchin Monkey$Capuchin Monkeys$Monkey, Capuchin$Monkeys, Capuchin$Monkey, Ring Tail$Monkey, Ring Tailed$Monkey, Ring-Tail$Monkey, Ring-Tailed$Monkeys, Ring-Tail$Monkeys, Ring-Tailed$Ring-Tail Monkey$Ring-Tail Monkeys$Ring-Tailed Monkey$Ring-Tailed Monkeys$Cebus]
Deoxyadenine Nucleotides|[Deoxyadenine Nucleotides$Nucleotides, Deoxyadenine$Deoxyadenosine Phosphates$Phosphates, Deoxyadenosine]
Ethosuximide|[Ethosuximide$Ethylmethylsuccimide$Ethosuccimid$2,5-Pyrrolidinedione, 3-ethyl-3-methyl-]
Health Services, Indigenous|[Health Service, Indigenous$Health Services, Indigenous$Indigenous Health Service$Indigenous Health Services$Service, Indigenous Health$Services, Indigenous Health$Health Indigenous Service$Health Indigenous Services$Indigenous Service, Health$Indigenous Services, Health$Service, Health Indigenous$Services, Health Indigenous]
Urban Health Services|[Health Service, Urban$Health Services, Urban$Service, Urban Health$Services, Urban Health$Urban Health Service$Urban Health Services]
Lifting|[Lifting]
Meat-Packing Industry|[Industries, Meat-Packing$Industry, Meat-Packing$Meat Packing Industry$Meat-Packing Industries$Meat-Packing Industry$Industry, Meat Packing]
Nisoldipine|[Nisoldipine$3,5-Pyridinedicarboxylic acid, 1,4-dihydro-2,6-dimethyl-4-(2-nitrophenyl)-, methyl 2-methylpropyl ester]
Arachnoid Cysts|[Arachnoid Cyst$Arachnoid Cysts$Cyst, Arachnoid$Cysts, Arachnoid$Cyst, Leptomeningeal$Cysts, Leptomeningeal$Leptomeningeal Cyst$Leptomeningeal Cysts$Arachnoid Diverticulas$Diverticulas, Arachnoid$Arachnoid Diverticula$Diverticula, Arachnoid]
Dental Pulp Test|[Dental Pulp Test$Dental Pulp Tests$Pulp Test, Dental$Pulp Tests, Dental$Test, Dental Pulp$Tests, Dental Pulp]
Water Pollutants, Radioactive|[Pollutants, Radioactive Water$Radioactive Water Pollutants$Water Pollutants, Radioactive]
Contraceptive Devices, Female|[Contraceptive Device, Female$Contraceptive Devices, Female$Device, Female Contraceptive$Devices, Female Contraceptive$Female Contraceptive Device$Female Contraceptive Devices]
Aminopropionitrile|[Aminopropionitrile$BAPN$Propanenitrile, 3-amino-]
Inosine Monophosphate|[IMP$Inosine Monophosphate$Monophosphate, Inosine$Monophosphate, Ribosylhypoxanthine$Ribosylhypoxanthine Monophosphate$5'-Inosinic acid]
Phosphines|[Phosphines]
phosphine|[phosphine$hydrogen phosphorus, PH3$phosphane]
Receptors, Laminin|[Laminin Receptor$Laminin Receptors$Receptor, Laminin$Receptors, Laminin]
Flupenthixol|[alpha-Flupenthixol$cis-Flupenthixol$Flupenthixol$Flupentixol$1-Piperazineethanol, 4-(3-(2-(trifluoromethyl)-9H-thioxanthen-9-ylidene)propyl)-]
Flufenamic Acid|[Acid, Flufenamic$Flufenamic Acid$Benzoic acid, 2-((3-(trifluoromethyl)phenyl)amino)-]
Euphoria|[Euphoria$Euphorias]
Encephalitis Virus, Venezuelan Equine|[Encephalitis Virus, Venezuelan Equine$Encephalitis Viruses, Venezuelan Equine$Venezuelan Equine Encephalitis Viruses$Virus, Venezuelan Equine Encephalitis$Viruses, Venezuelan Equine Encephalitis$Venezuelan equine encephalitis virus$Encephalomyelitis Virus, Venezuelan Equine]
Antelopes|[Antelope$Antelopes$Antelopine$Antelopines]
Percussion|[Percussion$Percussions]
Zona Glomerulosa|[Adrenal Glomerulosa$Glomerulosa, Adrenal$Glomerulosa, Zona$Zona Glomerulosa]
DNA Primase|[DNA Primase$Primase, DNA$Primase]
Africa, Central|[Africa, Central]
Polychaeta|[Polychaeta]
Croton Oil|[Croton Oil$Oil, Croton$Oils, croton]
Creation of peritoneovascular shunt|[Ascites Shunt, Peritoneovenous$Ascites Shunts, Peritoneovenous$Peritoneovenous Ascites Shunt$Peritoneovenous Ascites Shunts$Shunt, Peritoneovenous Ascites$Shunts, Peritoneovenous Ascites$Peritoneovenous Shunt$Shunts, Peritoneovenous$Peritoneovenous Shunts$Shunt, Peritoneovenous$Peritoneo Venous Shunt$Peritoneo-Venous Shunt$Peritoneo-Venous Shunts$Shunt, Peritoneo-Venous$Shunts, Peritoneo-Venous]
Nuclear Physics|[Nuclear Physic$Nuclear Physics$Physic, Nuclear$Physics, Nuclear]
Rehydration Solutions|[Rehydration Solutions$Solutions, Rehydration]
Nicorandil|[Nicorandil$2 Nicotinamidethyl Nitrate$2-Nicotinamidethyl Nitrate$Nitrate, 2-Nicotinamidethyl$2 Nicotinamidoethyl Nitrate$2-Nicotinamidoethyl Nitrate$Nitrate, 2-Nicotinamidoethyl$3-Pyridinecarboxamide, N-(2-(Nitroxy)ethyl)-]
24,25-Dihydroxyvitamin D 3|[24,25 Dihydroxyvitamin D3$24,25-Dihydroxyvitamin D3$Dihydroxyvitamin D3, 24,25$24,25 Dihydroxycholecalciferol$24,25-Dihydroxycholecalciferol$24,25 Dihydroxyvitamin D 3$24,25-Dihydroxyvitamin D 3$9,10-Secocholesta-5,7,10(19)-triene-3,24,25-triol, (3beta,5Z,7E)-]
Olfactory Receptor Neurons|[Neurons, Olfactory Receptor$Olfactory Receptor Neurons$Neuron, Olfactory Receptor$Olfactory Receptor Neuron$Receptor Neuron, Olfactory$Receptor Neurons, Olfactory]
Leukocyte Adherence Inhibition Test|[Leukocyte Adherence Inhibition Test$LAI Test$LAI Tests$Test, LAI$Tests, LAI]
Chlormethiazole|[Chlormethiazole$Clomethiazole$Thiazole, 5-(2-chloroethyl)-4-methyl-]
Vascular Neoplasms|[Neoplasm, Vascular$Neoplasms, Vascular$Vascular Neoplasm$Vascular Neoplasms]
Cholesterol 7-alpha-Hydroxylase|[Cholesterol 7 alpha Monooxygenase$Cholesterol 7-alpha-Monooxygenase$Cholesterol 7alpha-Hydroxylase$Cholesterol 7alpha Hydroxylase$Cholesterol 7 Hydroxylase$Cholesterol-7-Hydroxylase$Cholesterol,NADPH:oxygen oxidoreductase (7 alpha-hydroxylating)$Cytochrome P 450 CYP7$Cytochrome P-450 CYP7$Cholesterol 7 alpha Hydroxylase$Cholesterol 7-alpha-Hydroxylase$CYP 7$Cytochrome P450 7$CYP7$CYP 7A$CYP7A]
Tissue Embedding|[Embedding, Tissue$Tissue Embedding]
Brevibacterium|[Brevibacterium]
Mouth Abnormalities|[Abnormalities, Mouth$Abnormality, Mouth$Mouth Abnormalities$Mouth Abnormality]
Lentigo|[Lentigo$Lentigos$Lentiginosis$Lentiginoses]
Antigens, CD27|[CD27 Antigen$Antigen, CD27$CD27 Antigens$Antigens, CD27$T Cell Activation Antigen$T-Cell Activation Antigen$Activation Antigen, T-Cell$Antigen, T-Cell Activation]
Liver Failure, Acute|[Hepatic Failure, Acute$Acute Hepatic Failure$Failure, Acute Hepatic$Liver Failure, Acute$Acute Liver Failure$Failure, Acute Liver]
Receptors, HIV|[AIDS Virus Receptors$Receptors, AIDS Virus$Virus Receptors, AIDS$HTLV III Receptors$HTLV-III Receptors$Receptors, HTLV III$Receptors, HTLV-III$HIV Receptors$Receptors, HIV]
Mali|[Mali]
Alternaria|[Alternaria]
Acremonium|[Acremonium$Cephalosporium]
Periplaneta|[Periplaneta]
Antigens, CD20|[Antigen, CD20$Antigens, CD20$CD20 Antigen$CD20 Antigens]
Entamoeba|[Entamoeba]
DDD|[DDD$Dichlorodiphenyldichloroethane$TDE$Benzene, 1,1'-(2,2-dichloroethylidene)bis(4-chloro-]
Chondrodysplasia Punctata|[Chondrodysplasia Punctata$Chondrodystrophia Calcificans Congenita$Dysplasia Epiphysialis Punctata$Epiphyses, Stippled$Stippled Epiphyses]
Rye cereal|[Rye]
Secale cereale|[Secale cereale]
Periapical Periodontitis|[Periapical Periodontitides$Periapical Periodontitis$Periodontitides, Periapical$Periodontitis, Periapical$Apical Periodontitides$Apical Periodontitis$Periodontitides, Apical$Periodontitis, Apical]
Pilonidal Sinus|[Cysts, Pilonidal$Pilonidal Cyst$Pilonidal Cysts$Cyst, Pilonidal$Pilonidal Sinus$Sinus, Pilonidal]
Thymol|[Thymol$Phenol, 5-methyl-2-(1-methylethyl)-]
Myelin P2 Protein|[Myelin P2 Protein$P2 Protein, Myelin$Protein, Myelin P2$P2 Protein$Protein, P2$Myelin Basic Protein P2]
Amebicides|[Amebicides$Amoebicides]
Gastroscopes|[Gastroscopes$Gastroscope]
Spiral Ganglion|[Ganglion of Corti$Ganglion, Spiral$Spiral Ganglion$Spiral Ganglia$Ganglia, Spiral]
Formularies, Hospital|[Formularies, Hospital$Formulary, Hospital$Hospital Formularies$Hospital Formulary]
Environment Design|[Design, Environment$Designs, Environment$Environment Design$Environment Designs]
Algae, Red|[Algae, Red]
Lithocholic Acid|[Acid, Isolithocholic$Isolithocholic Acid$Acid, Lithocholic$Lithocholic Acid$Cholan-24-oic acid, 3-hydroxy-, (3alpha,5beta)-]
Combinatorial Chemistry Techniques|[Chemistry Technic, Combinatorial$Chemistry Technics, Combinatorial$Combinatorial Chemistry Technic$Combinatorial Chemistry Technics$Technic, Combinatorial Chemistry$Technics, Combinatorial Chemistry$Chemistry Technique, Combinatorial$Chemistry Techniques, Combinatorial$Combinatorial Chemistry Technique$Combinatorial Chemistry Techniques$Technique, Combinatorial Chemistry$Techniques, Combinatorial Chemistry]
Cladribine|[2-Chloro-2'-deoxyadenosine$2'-Deoxy-2-chloroadenosine$2-Chlorodeoxyadenosine$Cladribine$Adenosine, 2-chloro-2'-deoxy-]
Estramustine|[Estramustine$Estra-1,3,5(10)-triene-3,17-diol (17beta)-, 3-(bis(2-chloroethyl)carbamate)]
Play Therapy|[Play Therapies$Play Therapy$Therapies, Play$Therapy, Play]
ras GTPase-Activating Proteins|[ras-GAP$ras-GAPs$ras GAP$ras GAPs$GTPase-Activating Proteins, ras$ras GTPase Activating Proteins$ras GTPase-Activating Proteins]
Anaplasmosis|[Anaplasmoses$Anaplasmosis]
Placental Hormones|[Hormones, Placental$Placental Hormones]
Menkes Kinky Hair Syndrome|[Diseases, Kinky Hair$Hair Diseases, Kinky$Kinky Hair Disease$Kinky Hair Diseases$Kinky Hair Syndrome$Menkes Syndrome$Steely Hair Syndrome$Syndrome, Steely Hair$Steely Hair Syndromes$Syndromes, Steely Hair$Congenital Hypocupremia$Hypocupremia, Congenital$Menkes Disease$Menkes' Disease$Menkes' Diseases$Diseases, Menkes'$Menkes Kinky Hair Syndrome$Disease, Steely Hair$Diseases, Steely Hair$Hair Diseases, Steely$Steely Hair Disease$Steely Hair Diseases$Congenital Hypocupremias$Hypocupremias, Congenital]
Orthodontics, Preventive|[Orthodontics, Preventive$Preventive Orthodontics]
3,4-Methylenedioxyamphetamine|[3,4 Methylenedioxyamphetamine$3,4-Methylenedioxyamphetamine$1,3-Benzodioxole-5-ethanamine, alpha-methyl-]
Instillation, Drug|[Drug Instillation$Instillation, Drug$Drug Instillations$Instillations, Drug]
Bronchoconstrictor Agents|[Agents, Bronchial-Constricting$Bronchial Constricting Agents$Bronchial-Constricting Agents$Agents, Bronchoconstrictor$Bronchoconstrictor Agents$Bronchoconstrictors]
Benzocaine|[Benzocaine$Ethyl Aminobenzoate$4-Aminobenzoic Acid Ethyl Ester$4 Aminobenzoic Acid Ethyl Ester$Bensokain$Benzoic acid, 4-amino-, ethyl ester]
Epiglottitis|[Epiglottitides$Epiglottitis]
Thioacetamide|[Thiacetamid$Thioacetamid$Thioacetamide$Ethanethioamide]
Hospital-Physician Relations|[Hospital Physician Relations$Hospital-Physician Relation$Hospital-Physician Relations$Physician Hospital Relations$Physician-Hospital Relation$Physician-Hospital Relations$Relation, Hospital-Physician$Relation, Physician-Hospital$Relations, Hospital-Physician$Relations, Physician-Hospital]
Technology Transfer|[Technology Transfer$Technology Transfers$Transfer, Technology$Transfers, Technology]
Cilastatin|[Cilastatin$2-Heptenoic acid, 7-((2-amino-2-carboxyethyl)thio)-2-(((2,2-dimethylcyclopropyl)carbonyl)amino)-, (R-(R*,S*-(Z)))-]
Cheilitis|[Cheilitides$Cheilitis]
Pyruvate Carboxylase|[Carboxylase, Pyruvate$Pyruvate Carboxylase$Pyruvate:carbon-dioxide ligase (ADP-forming)]
Veratrine|[Veratrine$Cevane-3,4,12,14,16,17,20-heptol, 4,9-epoxy-, 3-(2-methyl-2-butenoate), (3beta(Z),4alpha,16beta)-]
Ischium|[Ischium$Ischiums]
Tight Junctions|[Junction, Tight$Junctions, Tight$Tight Junction$Tight Junctions$Junction, Occluding$Junctions, Occluding$Occluding Junction$Occluding Junctions]
Ear Deformities, Acquired|[Acquired Ear Deformities$Acquired Ear Deformity$Deformities, Acquired Ear$Deformity, Acquired Ear$Ear Deformities, Acquired$Ear Deformity, Acquired]
Dentists, Women|[Dentist, Woman$Dentists, Woman$Dentists, Women$Woman Dentist$Woman Dentists$Women Dentists]
Milk Hypersensitivity|[Allergies, Milk$Allergy, Milk$Milk Allergies$Milk Allergy$Hypersensitivities, Milk$Hypersensitivity, Milk$Milk Hypersensitivities$Milk Hypersensitivity]
Empty Sella Syndrome|[Empty Sella Syndrome$Empty Sella Syndromes$Empty Sella Turcica Syndrome]
Pest Control|[Control, Pest$Controls, Pest$Pest Control$Pest Controls]
Coumaric Acids|[Acids, Coumaric$Coumaric Acids$Acids, Hydroxycinnamic$Hydroxycinnamic Acids]
Encephalomyelitis, Acute Disseminated|[Acute Disseminated Encephalomyelitides$Acute Disseminated Encephalomyelitis$Disseminated Encephalomyelitides, Acute$Disseminated Encephalomyelitis, Acute$Encephalomyelitides, Acute Disseminated$Encephalomyelitis, Acute Disseminated]
Bacteriophage T7|[Phage T7$T7 Phage$Phage, T7$Phages, T7$T7 Phages$Bacteriophage T7$Coliphage T7$Enterobacteria phage T7]
Portasystemic Shunt, Transjugular Intrahepatic|[Portasystemic Shunt, Transjugular Intrahepatic$Portosystemic Shunt, Transjugular Intrahepatic$Shunt, Transjugular Intrahepatic Portasystemic$Shunt, Transjugular Intrahepatic Portosystemic$Transjugular Intrahepatic Portasystemic Shunt$TIPSS]
Antitrichomonal Agents|[Agents, Antitrichomonal$Antitrichomonal Agents$Antitrichomonals$Antitrichomonal Drugs$Drugs, Antitrichomonal$Trichomonicides]
Thermus thermophilus|[Thermus thermophilus]
Actinobacillus Infections|[Actinobacillus Infection$Actinobacillus Infections$Infection, Actinobacillus$Infections, Actinobacillus]
Biological Dressings|[Biologic Dressing$Biologic Dressings$Biological Dressing$Biological Dressings$Dressing, Biologic$Dressing, Biological$Dressings, Biologic$Dressings, Biological]
Leukotriene E4|[Leukotriene E4$LTE4$Leukotriene E-4$Leukotriene E 4$7,9,11,14-Eicosatetraenoic acid, 6-((2-amino-2-carboxyethyl)thio)-5-hydroxy-, (5S-(5R*,6S*(S*),7E,9E,11Z,14Z))-]
Blastomyces|[Blastomyces]
Territoriality|[Territoriality$Territorialities]
Tongue Habits|[Habits, Tongue$Tongue Habits]
Strongylida Infections|[Infections, Strongylida$Strongylida Infections$Infection, Strongylida$Strongylida Infection]
Chlorpyrifos|[Chlorpyrifos$Phosphorothioic acid, O,O-diethyl O-(3,5,6-trichloro-2-pyridinyl) ester]
Supination|[Supinations$Supination]
Dysplastic Nevus Syndrome|[B K Mole Syndrome$B-K Mole Syndrome$Syndrome, B-K Mole$Dysplastic Nevus Syndrome$Nevus Syndrome, Dysplastic$Syndrome, Dysplastic Nevus]
Gelsolin|[Gelsolin]
Fatty Liver, Alcoholic|[Alcoholic Fatty Liver$Fatty Liver, Alcoholic]
Immunoglobulins, J-Chain|[Immunoglobulins, J Chain$Immunoglobulins, J-Chain$J Chain Immunoglobulins$J-Chain Immunoglobulins$J Chains$J Peptide$J-Peptide]
Thematic Apperception Test|[Apperception Test, Thematic$Apperception Tests, Thematic$Test, Thematic Apperception$Tests, Thematic Apperception$Thematic Apperception Test$Thematic Apperception Tests]
Neurotransmitter Uptake Inhibitors|[Inhibitors, Neurotransmitter Uptake$Neurotransmitter Uptake Inhibitors$Uptake Inhibitors, Neurotransmitter$Transmitter Uptake Inhibitors, Neuronal$Reuptake Inhibitors, Neurotransmitter$Inhibitors, Neurotransmitter Reuptake$Neurotransmitter Reuptake Inhibitors]
Phenylbutyrates|[Phenylbutyrates]
Spermatocidal Agents|[Agents, Spermatocidal$Spermatocidal Agents$Agents, Spermicidal Contraceptive$Contraceptive Agents, Spermicidal$Spermicidal Contraceptive Agents$Agents, Spermatocidal Contraceptive$Contraceptive Agents, Spermatocidal$Spermatocidal Contraceptive Agents$Agents, Spermicidal$Spermicidal Agents$Drugs, Spermatocidal$Spermatocidal Drugs$Spermatocides]
Marmota|[Marmota$Marmotas$Marmot$Marmots]
Neon|[Neon]
Mucopolysaccharidosis I|[Lipochondrodystrophies$Lipochondrodystrophy$Mucopolysaccharidosis I$Mucopolysaccharidosis 1$Is, Mucopolysaccharidosis$Mucopolysaccharidosis Is]
Elephants|[Elephant$Elephants]
Infectious Bovine Rhinotracheitis|[Bovine Rhinotracheitides, Infectious$Bovine Rhinotracheitis, Infectious$Infectious Bovine Rhinotracheitides$Infectious Bovine Rhinotracheitis$Rhinotracheitides, Infectious Bovine$Rhinotracheitis, Infectious Bovine]
Aphasia, Wernicke|[Aphasia, Wernicke$Aphasias, Wernicke$Wernicke Aphasia$Wernicke Aphasias$Aphasia, Wernicke's Fluent$Fluent Aphasia, Wernicke$Fluent Aphasia, Wernicke's$Fluent Aphasia, Wernickes$Wernicke's Fluent Aphasia$Dysphasia, Wernicke$Dysphasia, Wernicke's$Dysphasia, Wernickes$Wernicke Dysphasia$Wernicke's Dysphasia]
Lupus Erythematosus, Cutaneous|[Cutaneous Lupus Erythematosus$Lupus Erythematosus, Cutaneous]
Tinidazole|[Tinidazole$1H-Imidazole, 1-(2-(ethylsulfonyl)ethyl)-2-methyl-5-nitro-]
Blepharitis|[Blepharitides$Blepharitis]
Thinness|[Thinness$Thinnesses$Leanness$Leannesses]
Plicamycin|[Acid, Aureolic$Aureolic Acid$Mithramycin$Mitramycin$Plicamycin]
Hair Removal|[Depilation$Epilations$Hair Removal$Hair Removals$Removal, Hair$Removals, Hair$Depilations$Epilation]
Diamide|[Diamide$Acid Bisdimethylamide, Diazodicarboxylic$Bisdimethylamide, Diazodicarboxylic Acid$Diazodicarboxylic Acid Bisdimethylamide$Dizenedicarboxylic Acid Bis(N,N-dimethylamide)$Tetramethylazoformamide$Diazodicarboxylic Acid Bis(N,N-dimethyl)amide$Dizene Dicarboxylic Acid Bis(N,N-dimethylamide)$Diazenedicarboxamide, tetramethyl-]
Compressive Strength|[Compressive Strength$Compressive Strengths$Strength, Compressive$Strengths, Compressive]
